ACCOUNT,AMOUNT,SOURCE,Fabricated_JE,TYPE,ACCOUNT_DC,D/C,AMOUNT_POSITIF
2125,-3146.33,2,0,0,2125_C,C,3146.33
3146,3146.33,2,0,0,3146_D,D,3146.33
2157,33035.44,5,0,0,2157_D,D,33035.44
3161,-33035.44,5,0,0,3161_C,C,33035.44
1140,24398.56,5,0,0,1140_D,D,24398.56
2138,-24398.56,5,0,0,2138_C,C,24398.56
2169,43520.48,2,0,0,2169_D,D,43520.48
2198,-9430.1,2,0,0,2198_C,C,9430.1
1150,-44524.42,2,0,0,1150_C,C,44524.42
2143,9430.1,2,0,0,2143_D,D,9430.1
1103,-43520.48,2,0,0,1103_C,C,43520.48
2163,44524.42,2,0,0,2163_D,D,44524.42
2138,21684.03,2,0,0,2138_D,D,21684.03
3126,27226.83,2,0,0,3126_D,D,27226.83
3193,-27226.83,2,0,0,3193_C,C,27226.83
3149,-21684.03,2,0,0,3149_C,C,21684.03
2188,49062.33,7,0,0,2188_D,D,49062.33
2137,-49062.33,7,0,0,2137_C,C,49062.33
1138,35668.06,1,0,0,1138_D,D,35668.06
1195,-35668.06,1,0,0,1195_C,C,35668.06
2226,10547.8,7,0,0,2226_D,D,10547.8
2169,4867.03,7,0,0,2169_D,D,4867.03
3128,-10547.8,7,0,0,3128_C,C,10547.8
2202,-12254.75,7,0,0,2202_C,C,12254.75
2182,12254.75,7,0,0,2182_D,D,12254.75
2196,-4867.03,7,0,0,2196_C,C,4867.03
3157,-10003.83,4,0,0,3157_C,C,10003.83
2218,10003.83,4,0,0,2218_D,D,10003.83
3114,18459.7,6,0,0,3114_D,D,18459.7
3206,22317.31,6,0,0,3206_D,D,22317.31
2194,7345.05,6,0,0,2194_D,D,7345.05
1127,-18459.7,6,0,0,1127_C,C,18459.7
2102,-7345.05,6,0,0,2102_C,C,7345.05
2284,-22317.31,6,0,0,2284_C,C,22317.31
1163,-21646.77,7,0,0,1163_C,C,21646.77
2157,-16632.85,7,0,0,2157_C,C,16632.85
3197,21646.77,7,0,0,3197_D,D,21646.77
2295,16632.85,7,0,0,2295_D,D,16632.85
2107,43751.52,6,0,0,2107_D,D,43751.52
2147,-32298.09,6,0,0,2147_C,C,32298.09
2284,-43751.52,6,0,0,2284_C,C,43751.52
2194,32298.09,6,0,0,2194_D,D,32298.09
2120,-38332.91,3,0,0,2120_C,C,38332.91
3174,-31985.91,3,0,0,3174_C,C,31985.91
3221,5714.12,3,0,0,3221_D,D,5714.12
3170,-5714.12,3,0,0,3170_C,C,5714.12
1190,38332.91,3,0,0,1190_D,D,38332.91
2128,31985.91,3,0,0,2128_D,D,31985.91
2178,-9462.42,4,0,0,2178_C,C,9462.42
2157,-36134.76,4,0,0,2157_C,C,36134.76
1117,9462.42,4,0,0,1117_D,D,9462.42
3223,36134.76,4,0,0,3223_D,D,36134.76
1148,27620.97,4,0,0,1148_D,D,27620.97
1161,-27620.97,4,0,0,1161_C,C,27620.97
3186,-10321.69,6,0,0,3186_C,C,10321.69
1104,10321.69,6,0,0,1104_D,D,10321.69
3123,31388.21,6,0,0,3123_D,D,31388.21
3204,-31388.21,6,0,0,3204_C,C,31388.21
2111,-13241.72,2,0,0,2111_C,C,13241.72
2250,-9140.02,2,0,0,2250_C,C,9140.02
3113,-26249.3,2,0,0,3113_C,C,26249.3
2131,9140.02,2,0,0,2131_D,D,9140.02
1145,26249.3,2,0,0,1145_D,D,26249.3
2150,13241.72,2,0,0,2150_D,D,13241.72
1102,15301.55,2,0,0,1102_D,D,15301.55
3109,31997.14,2,0,0,3109_D,D,31997.14
2186,-39107.12,2,0,0,2186_C,C,39107.12
1178,-15301.55,2,0,0,1178_C,C,15301.55
2203,-31997.14,2,0,0,2203_C,C,31997.14
2169,39107.12,2,0,0,2169_D,D,39107.12
3148,35307.68,7,0,0,3148_D,D,35307.68
1179,-48299.45,7,0,0,1179_C,C,48299.45
2293,48299.45,7,0,0,2293_D,D,48299.45
3105,-35307.68,7,0,0,3105_C,C,35307.68
1169,-4267.67,3,0,0,1169_C,C,4267.67
1179,4267.67,3,0,0,1179_D,D,4267.67
3214,48781.61,2,0,0,3214_D,D,48781.61
1147,-18732.36,2,0,0,1147_C,C,18732.36
2248,4721.07,2,0,0,2248_D,D,4721.07
2268,18732.36,2,0,0,2268_D,D,18732.36
3111,-48781.61,2,0,0,3111_C,C,48781.61
1138,-4721.07,2,0,0,1138_C,C,4721.07
3105,6026.73,2,0,0,3105_D,D,6026.73
3138,-39689.37,2,0,0,3138_C,C,39689.37
3173,-10633.02,2,0,0,3173_C,C,10633.02
3159,-6026.73,2,0,0,3159_C,C,6026.73
1170,39689.37,2,0,0,1170_D,D,39689.37
2296,10633.02,2,0,0,2296_D,D,10633.02
2226,-30608.45,4,0,0,2226_C,C,30608.45
3188,30608.45,4,0,0,3188_D,D,30608.45
3125,2664.85,3,0,0,3125_D,D,2664.85
3139,-34197.81,3,0,0,3139_C,C,34197.81
2296,-2664.85,3,0,0,2296_C,C,2664.85
3214,34197.81,3,0,0,3214_D,D,34197.81
2211,-21495.98,5,0,0,2211_C,C,21495.98
3170,21495.98,5,0,0,3170_D,D,21495.98
3111,-37206.83,5,0,0,3111_C,C,37206.83
2180,37206.83,5,0,0,2180_D,D,37206.83
3184,38823.71,2,0,0,3184_D,D,38823.71
1132,-38823.71,2,0,0,1132_C,C,38823.71
2197,-33255.37,2,0,0,2197_C,C,33255.37
2246,33255.37,2,0,0,2246_D,D,33255.37
3152,-39547.53,5,0,0,3152_C,C,39547.53
3141,-31650.24,5,0,0,3141_C,C,31650.24
2293,-15663.83,5,0,0,2293_C,C,15663.83
2140,31650.24,5,0,0,2140_D,D,31650.24
3109,39547.53,5,0,0,3109_D,D,39547.53
3189,15663.83,5,0,0,3189_D,D,15663.83
2267,34435.06,5,0,0,2267_D,D,34435.06
1108,49766.54,5,0,0,1108_D,D,49766.54
2206,-49766.54,5,0,0,2206_C,C,49766.54
3216,27413.5,5,0,0,3216_D,D,27413.5
2110,-34435.06,5,0,0,2110_C,C,34435.06
1175,-27413.5,5,0,0,1175_C,C,27413.5
3148,19029.06,6,0,0,3148_D,D,19029.06
2140,-47914.27,6,0,0,2140_C,C,47914.27
2231,-19029.06,6,0,0,2231_C,C,19029.06
3224,-44208.83,6,0,0,3224_C,C,44208.83
2105,44208.83,6,0,0,2105_D,D,44208.83
1176,47914.27,6,0,0,1176_D,D,47914.27
2236,-10860.76,3,0,0,2236_C,C,10860.76
2255,10860.76,3,0,0,2255_D,D,10860.76
3116,45395.03,7,0,0,3116_D,D,45395.03
2111,-45395.03,7,0,0,2111_C,C,45395.03
3156,-27224.58,3,0,0,3156_C,C,27224.58
2121,27224.58,3,0,0,2121_D,D,27224.58
2271,-24157.2,2,0,0,2271_C,C,24157.2
2125,24157.2,2,0,0,2125_D,D,24157.2
2105,25282.07,1,0,0,2105_D,D,25282.07
3136,44778.34,1,0,0,3136_D,D,44778.34
2154,16756.57,1,0,0,2154_D,D,16756.57
2140,-44778.34,1,0,0,2140_C,C,44778.34
2187,-25282.07,1,0,0,2187_C,C,25282.07
2209,-16756.57,1,0,0,2209_C,C,16756.57
2152,-31847.48,6,0,0,2152_C,C,31847.48
2226,31847.48,6,0,0,2226_D,D,31847.48
2222,42425.64,7,0,0,2222_D,D,42425.64
3159,-42425.64,7,0,0,3159_C,C,42425.64
2112,38827.44,6,0,0,2112_D,D,38827.44
2295,10175.13,6,0,0,2295_D,D,10175.13
2197,-10175.13,6,0,0,2197_C,C,10175.13
1139,-49634.71,6,0,0,1139_C,C,49634.71
1157,-38827.44,6,0,0,1157_C,C,38827.44
2240,49634.71,6,0,0,2240_D,D,49634.71
2191,23546.83,5,0,0,2191_D,D,23546.83
2286,-23546.83,5,0,0,2286_C,C,23546.83
1116,-43105.39,5,0,0,1116_C,C,43105.39
2200,43105.39,5,0,0,2200_D,D,43105.39
2140,39466.05,2,0,0,2140_D,D,39466.05
2224,-39466.05,2,0,0,2224_C,C,39466.05
1184,33036.61,3,0,0,1184_D,D,33036.61
2225,-24305.87,3,0,0,2225_C,C,24305.87
2194,-33036.61,3,0,0,2194_C,C,33036.61
3182,24305.87,3,0,0,3182_D,D,24305.87
2275,-4584.42,4,0,0,2275_C,C,4584.42
2194,4584.42,4,0,0,2194_D,D,4584.42
2180,47331.04,4,0,0,2180_D,D,47331.04
1126,20226.36,4,0,0,1126_D,D,20226.36
2226,-20226.36,4,0,0,2226_C,C,20226.36
2296,-47331.04,4,0,0,2296_C,C,47331.04
1184,-39031.6,7,0,0,1184_C,C,39031.6
1103,39031.6,7,0,0,1103_D,D,39031.6
1127,-17562.9,2,0,0,1127_C,C,17562.9
3220,17562.9,2,0,0,3220_D,D,17562.9
1170,23191.58,4,0,0,1170_D,D,23191.58
2291,-20518.24,4,0,0,2291_C,C,20518.24
2236,24417.68,4,0,0,2236_D,D,24417.68
3123,-24417.68,4,0,0,3123_C,C,24417.68
2167,20518.24,4,0,0,2167_D,D,20518.24
2177,-23191.58,4,0,0,2177_C,C,23191.58
2281,3688.27,2,0,0,2281_D,D,3688.27
3218,-3688.27,2,0,0,3218_C,C,3688.27
3191,46993.3,4,0,0,3191_D,D,46993.3
2196,-46993.3,4,0,0,2196_C,C,46993.3
2233,37947.79,4,0,0,2233_D,D,37947.79
3163,-45008.79,4,0,0,3163_C,C,45008.79
2221,-37947.79,4,0,0,2221_C,C,37947.79
2102,45008.79,4,0,0,2102_D,D,45008.79
1124,41385.19,7,0,0,1124_D,D,41385.19
1153,-41385.19,7,0,0,1153_C,C,41385.19
1197,43120.42,7,0,0,1197_D,D,43120.42
2173,44128.3,7,0,0,2173_D,D,44128.3
2284,-44128.3,7,0,0,2284_C,C,44128.3
2282,-43120.42,7,0,0,2282_C,C,43120.42
2191,-8079.7,6,0,0,2191_C,C,8079.7
1145,34388.99,6,0,0,1145_D,D,34388.99
1118,-34388.99,6,0,0,1118_C,C,34388.99
2174,8079.7,6,0,0,2174_D,D,8079.7
1186,42056.17,3,0,0,1186_D,D,42056.17
1104,-42056.17,3,0,0,1104_C,C,42056.17
2146,9784.97,5,0,0,2146_D,D,9784.97
3208,-9784.97,5,0,0,3208_C,C,9784.97
2271,13252.72,3,0,0,2271_D,D,13252.72
3183,-13252.72,3,0,0,3183_C,C,13252.72
3161,-10352.77,3,0,0,3161_C,C,10352.77
1105,10352.77,3,0,0,1105_D,D,10352.77
3105,8949.25,7,0,0,3105_D,D,8949.25
3118,-37573.22,7,0,0,3118_C,C,37573.22
2258,-8949.25,7,0,0,2258_C,C,8949.25
3209,37573.22,7,0,0,3209_D,D,37573.22
3222,-35516.35,4,0,0,3222_C,C,35516.35
2116,35516.35,4,0,0,2116_D,D,35516.35
3162,-4463.21,7,0,0,3162_C,C,4463.21
2283,4463.21,7,0,0,2283_D,D,4463.21
3207,43686.47,7,0,0,3207_D,D,43686.47
3181,-12741.57,7,0,0,3181_C,C,12741.57
3217,-43686.47,7,0,0,3217_C,C,43686.47
1181,12741.57,7,0,0,1181_D,D,12741.57
2229,-19759.3,7,0,0,2229_C,C,19759.3
2247,16144.13,7,0,0,2247_D,D,16144.13
3114,-16144.13,7,0,0,3114_C,C,16144.13
2203,19759.3,7,0,0,2203_D,D,19759.3
3179,34363.62,4,0,0,3179_D,D,34363.62
2153,10511.98,4,0,0,2153_D,D,10511.98
2179,-34363.62,4,0,0,2179_C,C,34363.62
3153,48526.44,4,0,0,3153_D,D,48526.44
2176,-10511.98,4,0,0,2176_C,C,10511.98
3126,-48526.44,4,0,0,3126_C,C,48526.44
3115,41890.67,2,0,0,3115_D,D,41890.67
3209,26018.74,2,0,0,3209_D,D,26018.74
2170,-26018.74,2,0,0,2170_C,C,26018.74
3183,-41890.67,2,0,0,3183_C,C,41890.67
2292,48034.45,5,0,0,2292_D,D,48034.45
3150,-48034.45,5,0,0,3150_C,C,48034.45
1111,-49252.41,3,0,0,1111_C,C,49252.41
3227,49252.41,3,0,0,3227_D,D,49252.41
2145,18492.16,6,0,0,2145_D,D,18492.16
2145,-18492.16,6,0,0,2145_C,C,18492.16
2107,-25447.92,2,0,0,2107_C,C,25447.92
1149,40890.55,2,0,0,1149_D,D,40890.55
2101,-40890.55,2,0,0,2101_C,C,40890.55
2190,25447.92,2,0,0,2190_D,D,25447.92
1197,30177.2,2,0,0,1197_D,D,30177.2
1134,-30177.2,2,0,0,1134_C,C,30177.2
3207,2433.4,7,0,0,3207_D,D,2433.4
3178,-2433.4,7,0,0,3178_C,C,2433.4
2244,-5073.13,7,0,0,2244_C,C,5073.13
