JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE,ACCOUNT_DC
JE-1,2018-11-24,1161,20483.5,1,1,2018-11-01 – 2019-10-28,0,0,1161_D
JE-1,2018-11-24,3175,-20483.5,1,1,2018-11-01 – 2019-10-28,0,0,3175_C
JE-2,2019-09-13,3215,40016.47,1,9,2019-09-01 – 2020-08-28,0,0,3215_D
JE-2,2019-09-13,2239,31757.72,1,9,2019-09-01 – 2020-08-28,0,0,2239_D
JE-2,2019-09-13,3216,-31757.72,1,9,2019-09-01 – 2020-08-28,0,0,3216_C
JE-2,2019-09-13,3108,27072.34,1,9,2019-09-01 – 2020-08-28,0,0,3108_D
JE-2,2019-09-13,3112,-40016.47,1,9,2019-09-01 – 2020-08-28,0,0,3112_C
JE-2,2019-09-13,3101,-27072.34,1,9,2019-09-01 – 2020-08-28,0,0,3101_C
JE-3,2018-11-02,3200,-15290.41,4,1,2018-11-01 – 2019-10-28,0,0,3200_C
JE-3,2018-11-02,2237,13406.28,4,1,2018-11-01 – 2019-10-28,0,0,2237_D
JE-3,2018-11-02,2247,-19204.62,4,1,2018-11-01 – 2019-10-28,0,0,2247_C
JE-3,2018-11-02,1119,-13406.28,4,1,2018-11-01 – 2019-10-28,0,0,1119_C
JE-3,2018-11-02,1139,15290.41,4,1,2018-11-01 – 2019-10-28,0,0,1139_D
JE-3,2018-11-02,1196,19204.62,4,1,2018-11-01 – 2019-10-28,0,0,1196_D
JE-4,2019-09-01,2246,-5985.18,7,9,2019-09-01 – 2020-08-28,0,0,2246_C
JE-4,2019-09-01,2241,5985.18,7,9,2019-09-01 – 2020-08-28,0,0,2241_D
JE-5,2018-07-30,3159,17782.23,4,4,2018-07-01 – 2019-06-28,0,0,3159_D
JE-5,2018-07-30,2261,20701.68,4,4,2018-07-01 – 2019-06-28,0,0,2261_D
JE-5,2018-07-30,2241,12693.35,4,4,2018-07-01 – 2019-06-28,0,0,2241_D
JE-5,2018-07-30,3208,-20701.68,4,4,2018-07-01 – 2019-06-28,0,0,3208_C
JE-5,2018-07-30,2148,-12693.35,4,4,2018-07-01 – 2019-06-28,0,0,2148_C
JE-5,2018-07-30,1121,-17782.23,4,4,2018-07-01 – 2019-06-28,0,0,1121_C
JE-6,2019-12-13,2158,31174.42,4,1,2019-12-01 – 2020-11-28,0,0,2158_D
JE-6,2019-12-13,1174,34888.65,4,1,2019-12-01 – 2020-11-28,0,0,1174_D
JE-6,2019-12-13,2158,-31174.42,4,1,2019-12-01 – 2020-11-28,0,0,2158_C
JE-6,2019-12-13,1175,-34888.65,4,1,2019-12-01 – 2020-11-28,0,0,1175_C
JE-7,2019-12-12,2223,-21245.48,4,7,2019-12-01 – 2020-11-28,0,0,2223_C
JE-7,2019-12-12,1181,-18432.86,4,7,2019-12-01 – 2020-11-28,0,0,1181_C
JE-7,2019-12-12,2210,21245.48,4,7,2019-12-01 – 2020-11-28,0,0,2210_D
JE-7,2019-12-12,2153,18432.86,4,7,2019-12-01 – 2020-11-28,0,0,2153_D
JE-7,2019-12-12,3222,15580.82,4,7,2019-12-01 – 2020-11-28,0,0,3222_D
JE-7,2019-12-12,3192,-15580.82,4,7,2019-12-01 – 2020-11-28,0,0,3192_C
JE-8,2019-07-05,1115,-14641.06,3,5,2019-07-01 – 2020-06-28,0,0,1115_C
JE-8,2019-07-05,2214,28864.43,3,5,2019-07-01 – 2020-06-28,0,0,2214_D
JE-8,2019-07-05,3176,-28864.43,3,5,2019-07-01 – 2020-06-28,0,0,3176_C
JE-8,2019-07-05,1177,14641.06,3,5,2019-07-01 – 2020-06-28,0,0,1177_D
JE-8,2019-07-05,2246,-19619.58,3,5,2019-07-01 – 2020-06-28,0,0,2246_C
JE-8,2019-07-05,1179,19619.58,3,5,2019-07-01 – 2020-06-28,0,0,1179_D
JE-9,2018-09-23,2133,-22228.79,4,6,2018-09-01 – 2019-08-28,0,0,2133_C
JE-9,2018-09-23,2140,24912.91,4,6,2018-09-01 – 2019-08-28,0,0,2140_D
JE-9,2018-09-23,2243,22228.79,4,6,2018-09-01 – 2019-08-28,0,0,2243_D
JE-9,2018-09-23,1167,-24912.91,4,6,2018-09-01 – 2019-08-28,0,0,1167_C
JE-10,2018-05-15,1137,3635.69,5,6,2018-05-01 – 2019-04-28,0,0,1137_D
JE-10,2018-05-15,3205,-3635.69,5,6,2018-05-01 – 2019-04-28,0,0,3205_C
JE-10,2018-05-15,1170,-38749.24,5,6,2018-05-01 – 2019-04-28,0,0,1170_C
JE-10,2018-05-15,3106,38749.24,5,6,2018-05-01 – 2019-04-28,0,0,3106_D
JE-11,2019-05-02,3202,17406.82,5,1,2019-05-01 – 2020-04-28,0,0,3202_D
JE-11,2019-05-02,2181,-17406.82,5,1,2019-05-01 – 2020-04-28,0,0,2181_C
JE-12,2018-06-21,2254,20162.23,1,3,2018-06-01 – 2019-05-28,0,0,2254_D
JE-12,2018-06-21,1128,-20162.23,1,3,2018-06-01 – 2019-05-28,0,0,1128_C
JE-12,2018-06-21,3162,45453.49,1,3,2018-06-01 – 2019-05-28,0,0,3162_D
JE-12,2018-06-21,2163,-45453.49,1,3,2018-06-01 – 2019-05-28,0,0,2163_C
JE-13,2018-04-16,2197,9852.23,1,1,2018-04-01 – 2019-03-28,0,0,2197_D
JE-13,2018-04-16,2228,16087.4,1,1,2018-04-01 – 2019-03-28,0,0,2228_D
JE-13,2018-04-16,2285,-9852.23,1,1,2018-04-01 – 2019-03-28,0,0,2285_C
JE-13,2018-04-16,2220,-16087.4,1,1,2018-04-01 – 2019-03-28,0,0,2220_C
JE-13,2018-04-16,2295,36808.61,1,1,2018-04-01 – 2019-03-28,0,0,2295_D
JE-13,2018-04-16,3127,-36808.61,1,1,2018-04-01 – 2019-03-28,0,0,3127_C
JE-14,2019-09-10,1149,41685.07,7,7,2019-09-01 – 2020-08-28,0,0,1149_D
JE-14,2019-09-10,2156,-41685.07,7,7,2019-09-01 – 2020-08-28,0,0,2156_C
JE-15,2019-12-30,2185,-15623.53,5,6,2019-12-01 – 2020-11-28,0,0,2185_C
JE-15,2019-12-30,3126,24474.77,5,6,2019-12-01 – 2020-11-28,0,0,3126_D
JE-15,2019-12-30,1194,-6715.01,5,6,2019-12-01 – 2020-11-28,0,0,1194_C
JE-15,2019-12-30,2284,15623.53,5,6,2019-12-01 – 2020-11-28,0,0,2284_D
JE-15,2019-12-30,3152,6715.01,5,6,2019-12-01 – 2020-11-28,0,0,3152_D
JE-15,2019-12-30,2193,-24474.77,5,6,2019-12-01 – 2020-11-28,0,0,2193_C
JE-16,2019-02-25,2102,34616.62,2,1,2019-02-01 – 2020-01-28,0,0,2102_D
JE-16,2019-02-25,2155,47556.59,2,1,2019-02-01 – 2020-01-28,0,0,2155_D
JE-16,2019-02-25,2292,-47556.59,2,1,2019-02-01 – 2020-01-28,0,0,2292_C
JE-16,2019-02-25,1145,-34616.62,2,1,2019-02-01 – 2020-01-28,0,0,1145_C
JE-17,2019-07-30,2275,11566.6,1,1,2019-07-01 – 2020-06-28,0,0,2275_D
JE-17,2019-07-30,3165,-11566.6,1,1,2019-07-01 – 2020-06-28,0,0,3165_C
JE-18,2019-11-26,3142,-28617.47,1,3,2019-11-01 – 2020-10-28,0,0,3142_C
JE-18,2019-11-26,3177,-20640.0,1,3,2019-11-01 – 2020-10-28,0,0,3177_C
JE-18,2019-11-26,3210,-4001.59,1,3,2019-11-01 – 2020-10-28,0,0,3210_C
JE-18,2019-11-26,1114,4001.59,1,3,2019-11-01 – 2020-10-28,0,0,1114_D
JE-18,2019-11-26,2289,20640.0,1,3,2019-11-01 – 2020-10-28,0,0,2289_D
JE-18,2019-11-26,3165,28617.47,1,3,2019-11-01 – 2020-10-28,0,0,3165_D
JE-19,2018-12-20,2144,-32654.77,5,8,2018-12-01 – 2019-11-28,0,0,2144_C
JE-19,2018-12-20,2113,32654.77,5,8,2018-12-01 – 2019-11-28,0,0,2113_D
JE-20,2018-03-05,3191,24359.06,3,6,2018-03-01 – 2019-02-28,0,0,3191_D
JE-20,2018-03-05,1110,-27560.45,3,6,2018-03-01 – 2019-02-28,0,0,1110_C
JE-20,2018-03-05,2262,8373.96,3,6,2018-03-01 – 2019-02-28,0,0,2262_D
JE-20,2018-03-05,3221,-24359.06,3,6,2018-03-01 – 2019-02-28,0,0,3221_C
JE-20,2018-03-05,1143,-8373.96,3,6,2018-03-01 – 2019-02-28,0,0,1143_C
JE-20,2018-03-05,2271,27560.45,3,6,2018-03-01 – 2019-02-28,0,0,2271_D
JE-21,2018-04-06,1186,37641.82,2,8,2018-04-01 – 2019-03-28,0,0,1186_D
JE-21,2018-04-06,2219,18764.57,2,8,2018-04-01 – 2019-03-28,0,0,2219_D
JE-21,2018-04-06,2149,29559.55,2,8,2018-04-01 – 2019-03-28,0,0,2149_D
JE-21,2018-04-06,3225,-37641.82,2,8,2018-04-01 – 2019-03-28,0,0,3225_C
JE-21,2018-04-06,1123,-18764.57,2,8,2018-04-01 – 2019-03-28,0,0,1123_C
JE-21,2018-04-06,2192,-29559.55,2,8,2018-04-01 – 2019-03-28,0,0,2192_C
JE-22,2018-01-26,2141,40489.51,5,9,2018-01-01 – 2019-12-28,0,0,2141_D
JE-22,2018-01-26,2145,-40489.51,5,9,2018-01-01 – 2019-12-28,0,0,2145_C
JE-23,2018-01-28,3135,49253.0,6,9,2018-01-01 – 2019-12-28,0,0,3135_D
JE-23,2018-01-28,1106,-30355.19,6,9,2018-01-01 – 2019-12-28,0,0,1106_C
JE-23,2018-01-28,3140,-49253.0,6,9,2018-01-01 – 2019-12-28,0,0,3140_C
JE-23,2018-01-28,2269,30355.19,6,9,2018-01-01 – 2019-12-28,0,0,2269_D
JE-24,2019-03-18,2156,-27923.3,2,5,2019-03-01 – 2020-02-28,0,0,2156_C
JE-24,2019-03-18,3189,15812.46,2,5,2019-03-01 – 2020-02-28,0,0,3189_D
JE-24,2019-03-18,1186,-22740.14,2,5,2019-03-01 – 2020-02-28,0,0,1186_C
JE-24,2019-03-18,1173,27923.3,2,5,2019-03-01 – 2020-02-28,0,0,1173_D
JE-24,2019-03-18,2243,22740.14,2,5,2019-03-01 – 2020-02-28,0,0,2243_D
JE-24,2019-03-18,1117,-15812.46,2,5,2019-03-01 – 2020-02-28,0,0,1117_C
JE-25,2018-01-05,2241,30344.44,7,8,2018-01-01 – 2019-12-28,0,0,2241_D
JE-25,2018-01-05,2264,-30344.44,7,8,2018-01-01 – 2019-12-28,0,0,2264_C
JE-26,2019-12-06,1123,24619.23,1,9,2019-12-01 – 2020-11-28,0,0,1123_D
