JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE,ACCOUNT_DC
JE-1,2018-11-13,1118,13963.95,4,1,2018-11-01 – 2019-10-28,0,0,1118_D
JE-1,2018-11-13,1147,-4062.06,4,1,2018-11-01 – 2019-10-28,0,0,1147_C
JE-1,2018-11-13,3145,4062.06,4,1,2018-11-01 – 2019-10-28,0,0,3145_D
JE-1,2018-11-13,2227,28086.22,4,1,2018-11-01 – 2019-10-28,0,0,2227_D
JE-1,2018-11-13,2151,-13963.95,4,1,2018-11-01 – 2019-10-28,0,0,2151_C
JE-1,2018-11-13,2166,-28086.22,4,1,2018-11-01 – 2019-10-28,0,0,2166_C
JE-2,2018-11-07,3195,44724.8,2,4,2018-11-01 – 2019-10-28,0,0,3195_D
JE-2,2018-11-07,3192,-44724.8,2,4,2018-11-01 – 2019-10-28,0,0,3192_C
JE-3,2019-02-01,3109,-5722.57,6,1,2019-02-01 – 2020-01-28,0,0,3109_C
JE-3,2019-02-01,1193,49160.4,6,1,2019-02-01 – 2020-01-28,0,0,1193_D
JE-3,2019-02-01,2229,5722.57,6,1,2019-02-01 – 2020-01-28,0,0,2229_D
JE-3,2019-02-01,3199,-49160.4,6,1,2019-02-01 – 2020-01-28,0,0,3199_C
JE-4,2019-12-16,3144,-37982.31,2,5,2019-12-01 – 2020-11-28,0,0,3144_C
JE-4,2019-12-16,3168,29138.81,2,5,2019-12-01 – 2020-11-28,0,0,3168_D
JE-4,2019-12-16,1178,-29138.81,2,5,2019-12-01 – 2020-11-28,0,0,1178_C
JE-4,2019-12-16,3109,37982.31,2,5,2019-12-01 – 2020-11-28,0,0,3109_D
JE-5,2018-10-20,2189,-20648.74,2,5,2018-10-01 – 2019-09-28,0,0,2189_C
JE-5,2018-10-20,2168,-4465.11,2,5,2018-10-01 – 2019-09-28,0,0,2168_C
JE-5,2018-10-20,1196,-6488.69,2,5,2018-10-01 – 2019-09-28,0,0,1196_C
JE-5,2018-10-20,2182,4465.11,2,5,2018-10-01 – 2019-09-28,0,0,2182_D
JE-5,2018-10-20,1198,6488.69,2,5,2018-10-01 – 2019-09-28,0,0,1198_D
