JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE
JE-1,2024-12-11,2264,6205.37,C,C2,2024-01-01 – 2024-12-31,0,0
JE-1,2024-12-11,1000,-6205.37,C,C2,2024-01-01 – 2024-12-31,0,0
JE-2,2024-03-03,1000,9563.02,B,C3,2024-01-01 – 2024-12-31,0,0
JE-2,2024-03-03,2264,-9563.02,B,C3,2024-01-01 – 2024-12-31,0,0
JE-3,2024-01-28,6061,2767.27,F,C4,2024-01-01 – 2024-12-31,0,0
JE-3,2024-01-28,1151,-2767.27,F,C4,2024-01-01 – 2024-12-31,0,0
JE-4,2024-11-10,1151,8222.05,G,C8,2024-01-01 – 2024-12-31,0,0
JE-4,2024-11-10,1104,-8222.05,G,C8,2024-01-01 – 2024-12-31,0,0
JE-5,2024-03-19,3106,4217.52,D,C9,2024-01-01 – 2024-12-31,0,0
JE-5,2024-03-19,1104,-4217.52,D,C9,2024-01-01 – 2024-12-31,0,0
JE-6,2024-07-20,1104,1420.16,C,C8,2024-01-01 – 2024-12-31,0,0
JE-6,2024-07-20,4010,-1420.16,C,C8,2024-01-01 – 2024-12-31,0,0
JE-7,2024-12-01,6061,5194.98,A,C5,2024-01-01 – 2024-12-31,0,0
JE-7,2024-12-01,1198,-5194.98,A,C5,2024-01-01 – 2024-12-31,0,0
JE-8,2024-01-23,1151,1073.95,A,C7,2024-01-01 – 2024-12-31,0,0
JE-8,2024-01-23,4010,-1073.95,A,C7,2024-01-01 – 2024-12-31,0,0
JE-9,2024-06-06,6061,7903.9,A,C1,2024-01-01 – 2024-12-31,0,0
JE-9,2024-06-06,1151,-7903.9,A,C1,2024-01-01 – 2024-12-31,0,0
JE-10,2024-07-30,1151,5659.5,E,C4,2024-01-01 – 2024-12-31,0,0
JE-10,2024-07-30,6061,-5659.5,E,C4,2024-01-01 – 2024-12-31,0,0
JE-11,2024-06-23,1000,8806.86,G,C6,2024-01-01 – 2024-12-31,0,0
JE-11,2024-06-23,3106,-8806.86,G,C6,2024-01-01 – 2024-12-31,0,0
JE-12,2024-12-29,2264,1883.22,G,C3,2024-01-01 – 2024-12-31,1,1
JE-12,2024-12-29,5121,-2212.71,G,C3,2024-01-01 – 2024-12-31,1,1
JE-13,2024-08-07,5121,3084.49,A,C2,2024-01-01 – 2024-12-31,0,0
JE-13,2024-08-07,4010,-3084.49,A,C2,2024-01-01 – 2024-12-31,0,0
JE-14,2024-12-29,1000,8256.03,B,C9,2024-01-01 – 2024-12-31,0,0
JE-14,2024-12-29,3106,-8256.03,B,C9,2024-01-01 – 2024-12-31,0,0
JE-15,2024-03-05,1151,6497.21,C,C1,2024-01-01 – 2024-12-31,0,0
JE-15,2024-03-05,6061,-6497.21,C,C1,2024-01-01 – 2024-12-31,0,0
JE-16,2024-10-04,5121,9873.71,F,C3,2024-01-01 – 2024-12-31,0,0
JE-16,2024-10-04,1104,-9873.71,F,C3,2024-01-01 – 2024-12-31,0,0
JE-17,2024-05-27,4010,6609.58,A,C4,2024-01-01 – 2024-12-31,0,0
JE-17,2024-05-27,1151,-6609.58,A,C4,2024-01-01 – 2024-12-31,0,0
JE-18,2024-12-14,1104,3902.18,G,C1,2024-01-01 – 2024-12-31,0,0
JE-18,2024-12-14,3106,-3902.18,G,C1,2024-01-01 – 2024-12-31,0,0
JE-19,2024-12-21,4010,9100.73,B,C2,2024-01-01 – 2024-12-31,0,0
JE-19,2024-12-21,1000,-9100.73,B,C2,2024-01-01 – 2024-12-31,0,0
JE-20,2024-06-24,4010,5988.23,D,C8,2024-01-01 – 2024-12-31,1,1
JE-20,2024-06-24,1198,-5541.75,D,C8,2024-01-01 – 2024-12-31,1,1
